Freq,Input,Offset,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing
441.21875,446.21875,+5.00000,,"Chicago ",IL,Cook,AA9VI,OPEN,0.0,N
442.97500,447.975,+5.00000,114.8,"Chicago ",IL,Cook,WA9VGI,OPEN,0.1,ESE
444.12500,449.125,+5.00000,156.7,"Chicago ",IL,Cook,KC9DTO,OPEN,0.4,NNW
442.57500,447.575,+5.00000,131.8,"Chicago ",IL,Cook,N9OZG,OPEN,2.2,SSW
444.62500,449.625,+5.00000,110.9,"Chicago ",IL,Cook,N9SHB,OPEN,2.2,SSW
442.40000,447.4,+5.00000,114.8,"Chicago ",IL,Cook,K9NBC,OPEN,2.2,SSW
443.92500,448.925,+5.00000,,"Chicago ",IL,Cook,K9VO,OPEN,2.2,SSW
146.85000,146.25,-0.60000,100.0,"Chicago ",IL,Cook,WA9DZO,OPEN,2.2,SSW
147.15000,147.75,+0.60000,107.2,"Chicago ",IL,Cook,W9SRO,OPEN,2.2,SSW
145.35000,144.75,-0.60000,D072,"Park Ridge ",IL,Cook,WA9ORC,OPEN,2.2,SSW
146.88000,146.28,-0.60000,107.2,"Chicago ",IL,Cook,K9GFY,OPEN,2.2,SSW
146.76000,146.16,-0.60000,107.2,"Chicago Lincoln Park",IL,Cook,WA9ORC,OPEN,2.3,N
443.75000,448.75,+5.00000,114.8,"Chicago ",IL,Cook,WA9ORC,OPEN,2.3,N
444.37500,449.375,+5.00000,114.8,"Chicago Lincoln Park",IL,Cook,KD9PIN,OPEN,3.4,NNW
443.82500,448.825,+5.00000,114.8,"Chicago ",IL,Cook,W9BMK,OPEN,3.6,NW
442.72500,447.725,+5.00000,114.8,"Chicago ",IL,Cook,NS9RC,OPEN,7.2,N
443.97500,448.975,+5.00000,114.8,"Chicago ",IL,Cook,KB9PTI,OPEN,7.4,NNW
444.15000,449.15,+5.00000,146.2,"Berwyn ",IL,Cook,WA9HIR,OPEN,8.6,WSW
146.73000,146.13,-0.60000,107.2,"Chicago ",IL,Cook,K9QKW,OPEN,8.7,SSE
441.50000,446.5,+5.00000,,"Oak Park ",IL,Cook,AC9CO,OPEN,8.9,W
