Freq,Input,Offset,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing
444.30000,449.3,+5.00000,131.8,"Camden ",NJ,Camden,WB3EHB,OPEN,1.8,E
448.02500,443.025,-5.00000,131.8,"Camden ",NJ,Camden,N2HQX,OPEN,1.8,E
447.77500,442.775,-5.00000,146.2,"Gloucester City ",NJ,Camden,NJ2GC,OPEN,2.2,SE
145.27000,144.67,-0.60000,,"Philadelphia ",PA,Philadelphia,W3PVI,OPEN,2.9,NNW
145.41000,144.81,-0.60000,127.3,"Philadelphia ",PA,Philadelphia,KD3WT,OPEN,2.9,NNW
440.15000,445.15,+5.00000,100.0,"Philadelphia ",PA,Philadelphia,K3CX,OPEN,2.9,NNW
442.40000,447.4,+5.00000,131.8,"Philadelphia ",PA,Philadelphia,N3KZ,OPEN,2.9,NNW
442.55000,447.55,+5.00000,91.5,"Philadelphia Roxborough Towers",PA,Philadelphia,W3SBE,OPEN,2.9,NNW
442.80000,447.8,+5.00000,131.8,"Philadelphia ",PA,Philadelphia,K3TU,OPEN,2.9,NNW
446.87500,441.875,-5.00000,131.8,"Philadelphia ",PA,Philadelphia,KD3WT,OPEN,2.9,NNW
146.68500,146.085,-0.60000,146.2,"Philadelphia University of Pennsylvania",PA,Philadelphia,WM3PEN,OPEN,3.5,NW
449.97500,444.975,-5.00000,131.8,"Yeadon ",PA,Delaware,N3UXQ,OPEN,5.8,WNW
147.22500,147.825,+0.60000,192.8,"Runnemede ",NJ,Camden,WA2WUN,OPEN,6.0,SE
147.36000,147.96,+0.60000,131.8,"Darby Mercy Fitzgerald Hospital",PA,Delaware,W3UER,OPEN,6.4,W
444.05000,449.05,+5.00000,131.8,"Darby Mercy Fitzgerald Hospital",PA,Delaware,W3UER,OPEN,6.4,W
145.37000,144.77,-0.60000,91.5,"Cherry Hill ",NJ,Camden,NJ2CH,OPEN,6.4,E
444.90000,449.9,+5.00000,131.8,"Cherry Hill ",NJ,Camden,K3RJC,OPEN,6.4,E
147.12000,147.72,+0.60000,123.0,"Woodbury ",NJ,Gloucester,KC2DUX,OPEN,8.8,SSE
440.65000,445.65,+5.00000,,"Philadelphia Roxborough",PA,Philadelphia,WR3IRS,OPEN,10.5,NNW
146.89500,146.295,-0.60000,91.5,"Voorhees ",NJ,Camden,K2EOC,OPEN,10.8,SE
441.70000,446.7,+5.00000,74.4,"Roxborough ",PA,Philadelphia,W3WAN,OPEN,11.0,NNW
147.03000,147.63,+0.60000,91.5,"Philadelphia ",PA,Philadelphia,W3QV,OPEN,11.2,NNW
444.80000,449.8,+5.00000,,"Roxborough ",PA,Philadelphia,W3QV,OPEN,11.2,NNW
447.62500,442.625,-5.00000,,"Wyndmoor Whitemarsh",PA,Montgomery,K3PDR,OPEN,12.0,N
146.86500,146.265,-0.60000,131.8,"Pine Hill ",NJ,Camden,K2UK,OPEN,12.1,SE
442.35000,447.35,+5.00000,131.8,"Pine Hill ",NJ,Camden,K2UK,OPEN,12.1,SE
444.70000,449.7,+5.00000,131.8,"Chester ",PA,Delaware,KM3W,OPEN,12.3,WSW
442.10000,447.1,+5.00000,131.8,"Pitman ",NJ,Gloucester,W2MMD,OPEN,12.4,S
146.94000,146.34,-0.60000,131.8,"Media ",PA,Delaware,W3AEC,OPEN,12.7,W
441.20000,446.2,+5.00000,,"Newtown Square ",PA,Delaware,WR3IRS,OPEN,14.3,WNW
147.19500,147.795,+0.60000,100.0,"Newtown Square ",PA,Delaware,W3DI,OPEN,14.3,WNW
442.25000,447.25,+5.00000,131.8,"Newtown Square ",PA,Delaware,W3DI,OPEN,14.3,WNW
442.60000,447.6,+5.00000,131.8,"Newtown Square ",PA,Delaware,WA3NNA,OPEN,14.3,WNW
147.06000,147.66,+0.60000,131.8,"Newtown Square ",PA,Delaware,WB3JOE,OPEN,14.3,WNW
146.71500,146.115,-0.60000,131.8,"Meadowbrook ",PA,Montgomery,WA3UTI,OPEN,14.3,NNE
443.15000,448.15,+5.00000,131.8,"Meadowbrook ",PA,Montgomery,WA3UTI,OPEN,14.3,NNE
441.15000,446.15,+5.00000,88.5,"Abington Township Abington Hospital",PA,Montgomery,K3DN,OPEN,14.4,N
147.18000,147.78,+0.60000,131.8,"Pitman ",NJ,Gloucester,W2MMD,OPEN,14.6,S
146.94000,146.34,-0.60000,131.8,"Media Fair Acres Geriatric Center",PA,Delaware,W3KG,OPEN,15.8,W
