Freq,Input,Offset,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing
441.45000,446.45,+5.00000,85.4,"San Francisco ",CA,San Francisco,W6EE,OPEN,0.1,ESE
443.10000,448.1,+5.00000,D114,"San Francisco ",CA,San Francisco,W6TP,OPEN,0.1,ESE
444.85000,449.85,+5.00000,114.8,"San Francisco ",CA,San Francisco,K6KYA,OPEN,0.1,ESE
444.92500,449.925,+5.00000,136.5,"San Francisco ",CA,San Francisco,KB6LCS,OPEN,0.1,ESE
146.79000,146.19,-0.60000,114.8,"San Francisco ",CA,San Francisco,W6TP,OPEN,0.1,ESE
444.72500,449.725,+5.00000,114.8,"San Francisco ",CA,San Francisco,K6TW,OPEN,1.5,NE
442.07500,447.075,+5.00000,100.0,"San Francisco Downtown",CA,San Francisco,N6MVT,OPEN,1.8,NE
442.05000,447.05,+5.00000,127.3,"San Francisco Twin Peaks",CA,San Francisco,WA6GG,OPEN,2.2,SW
145.15000,144.55,-0.60000,D664,"San Francisco Sutro Tower",CA,San Francisco,W6PW,OPEN,2.3,SW
444.22500,449.225,+5.00000,D664,"San Francisco VA Hospital",CA,San Francisco,W6PW,OPEN,4.7,W
440.50000,445.5,+5.00000,,"Daly City Mt San Bruno",CA,San Mateo,N6AMG,OPEN,6.1,S
440.70000,445.7,+5.00000,123.0,"Brisbane ",CA,San Mateo,K6CV,OPEN,6.6,S
146.83500,146.235,-0.60000,123.0,"Daly City ",CA,San Mateo,WD6INC,OPEN,6.6,SSW
442.52500,447.525,+5.00000,114.8,"Sausalito Wolfback Rdg",CA,Marin,K6ER,OPEN,6.8,NNW
444.55000,449.55,+5.00000,,"Sausalito ",CA,Marin,WA6EUZ,CLOSED,6.8,NNW
441.25000,446.25,+5.00000,141.3,"South San Francisco ",CA,San Francisco,K6DNA,OPEN,8.3,S
442.70000,447.7,+5.00000,173.8,"South San Francisco ",CA,San Francisco,N6MNV,OPEN,8.3,S
443.92500,448.925,+5.00000,136.5,"South San Francisco ",CA,San Francisco,KG6TN,OPEN,8.3,S
144.95000,147.45,+2.5,,"Oakland ",CA,Alameda,W6UUU,OPEN,8.3,E
443.82500,448.825,+5.00000,,"Oakland ",CA,Alameda,KB6FEC,OPEN,8.3,E
441.22500,446.225,+5.00000,100.0,"Oakland ",CA,Alameda,W6RCA,OPEN,8.4,E
443.35000,448.35,+5.00000,186.2,"Oakland ",CA,Alameda,AC6OT,OPEN,8.4,E
441.42500,446.425,+5.00000,156.7,"Oakland ",CA,Alameda,W6MTF,OPEN,8.4,E
442.25000,447.25,+5.00000,103.5,"Oakland Oakland Hills",CA,Alameda,KD6QDW,OPEN,8.4,E
441.47500,446.475,+5.00000,127.3,"Oakland ",CA,Alameda,W6YOP,OPEN,8.4,E
442.40000,447.4,+5.00000,77.0,"Oakland ",CA,Alameda,WB6NDJ,OPEN,8.4,E
443.37500,448.375,+5.00000,114.8,"Oakland ",CA,Alameda,WB6SHU,OPEN,8.4,E
443.47500,448.475,+5.00000,100.0,"Oakland ",CA,Alameda,N6QOP,OPEN,8.4,E
443.87500,448.875,+5.00000,,"Oakland ",CA,Alameda,W6MTF,CLOSED,8.4,E
443.97500,448.975,+5.00000,100.0,"Oakland ",CA,Alameda,WW6BAY,OPEN,8.4,E
444.25000,449.25,+5.00000,100.0,"Oakland Oakland Hills",CA,Alameda,WB6TCS,OPEN,8.4,E
444.65000,449.65,+5.00000,,"Oakland ",CA,Alameda,W6PUE,CLOSED,8.4,E
444.77500,449.775,+5.00000,127.3,"Oakland ",CA,Alameda,W6YOP,OPEN,8.4,E
146.67000,146.07,-0.60000,85.4,"Oakland ",CA,Alameda,W6BUR,OPEN,8.4,E
146.88000,146.28,-0.60000,77.0,"Oakland ",CA,Alameda,WB6NDJ,OPEN,8.4,E
147.21000,147.81,+0.60000,100.0,"Oakland Oakland Hills",CA,Alameda,WB6TCS,OPEN,8.4,E
444.57500,449.575,+5.00000,88.5,"Alameda Alameda Hospital",CA,Alameda,K6QLF,OPEN,9.1,ESE
147.82500,147.225,-0.60000,88.5,"Alameda ",CA,Alameda,KF6ALA,OPEN,9.7,ESE
