Freq,Input,Offset,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing
146.82000,146.22,-0.60000,123.0,"San Jose ",CA,Santa Clara,K6INC,OPEN,0.0,N
144.96250,147.4625,+2.5,,"San Jose ",CA,Santa Clara,W6OTX,OPEN,0.0,N
444.47500,449.475,+5.00000,,"San Jose ",CA,Santa Clara,W6OTX,OPEN,0.0,N
443.70000,448.7,+5.00000,186.2,"San Jose ",CA,Santa Clara,WC6HP,OPEN,0.0,W
443.90000,448.9,+5.00000,100.0,"San Jose San Jose State Univ.",CA,Santa Clara,W6YL,OPEN,0.3,SE
440.10000,445.1,+5.00000,127.3,"San Jose ",CA,Santa Clara,W6SMQ,OPEN,0.4,W
443.07500,448.075,+5.00000,123.0,"San Jose ",CA,Santa Clara,N6MVT,OPEN,0.4,W
444.62500,449.625,+5.00000,110.9,"San Jose ",CA,Santa Clara,N6NAC,OPEN,0.4,W
146.11500,146.715,+0.60000,100.0,"San Jose ",CA,Santa Clara,AA6BT,OPEN,0.4,W
146.35500,146.955,+0.60000,123.0,"San Jose ",CA,Santa Clara,KE6MON,OPEN,0.4,W
146.89500,146.295,-0.60000,110.9,"San Jose ",CA,Santa Clara,KB6FEC,OPEN,0.4,W
147.16500,147.765,+0.60000,100.0,"San Jose ",CA,Santa Clara,KB6FEC,OPEN,0.4,W
147.28500,147.885,+0.60000,103.5,"San Jose ",CA,Santa Clara,KF6FWO,OPEN,0.4,W
147.85500,147.255,-0.60000,100.0,"San Jose ",CA,Santa Clara,WA6TEM,OPEN,0.4,W
440.22500,445.225,+5.00000,123.0,"San Jose ",CA,Santa Clara,K6LLC,OPEN,0.4,W
440.27500,445.275,+5.00000,127.3,"San Jose ",CA,Santa Clara,WA6YOP,OPEN,0.4,W
440.37500,445.375,+5.00000,,"San Jose ",CA,Santa Clara,N6TNR,CLOSED,0.4,W
441.15000,446.15,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA2IBM,OPEN,0.4,W
441.17500,446.175,+5.00000,103.5,"San Jose ",CA,Santa Clara,KF6FWO,OPEN,0.4,W
441.27500,446.275,+5.00000,,"San Jose ",CA,Santa Clara,K6BEN,CLOSED,0.4,W
442.30000,447.3,+5.00000,114.8,"San Jose ",CA,Santa Clara,K6INC,OPEN,0.4,W
442.70000,447.7,+5.00000,100.0,"San Jose ",CA,Santa Clara,N6MNV,OPEN,0.4,W
442.77500,447.775,+5.00000,131.8,"San Jose ",CA,Santa Clara,KU6V,OPEN,0.4,W
442.85000,447.85,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA6MIA,OPEN,0.4,W
442.87500,447.875,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA6YLV,OPEN,0.4,W
442.95000,447.95,+5.00000,85.4,"San Jose ",CA,Santa Clara,K6YZS,OPEN,0.4,W
443.27500,448.275,+5.00000,107.2,"San Jose ",CA,Santa Clara,W6AMT,OPEN,0.4,W
443.30000,448.3,+5.00000,136.5,"San Jose ",CA,Santa Clara,KB5JR,OPEN,0.4,W
443.77500,448.775,+5.00000,100.0,"San Jose ",CA,Santa Clara,WA6GFY,OPEN,0.4,W
444.30000,449.3,+5.00000,173.8,"San Jose ",CA,Santa Clara,WB6RNH,OPEN,0.4,W
444.30000,449.3,+5.00000,162.2,"San Jose ",CA,Santa Clara,WB6RNH,OPEN,0.4,W
444.32500,449.325,+5.00000,,"San Jose ",CA,Santa Clara,WA6INC,OPEN,0.4,W
444.45000,449.45,+5.00000,100.0,"San Jose ",CA,Santa Clara,WB6JSO,OPEN,0.4,W
444.75000,449.75,+5.00000,100.0,"San Jose ",CA,Santa Clara,N9JIM,OPEN,0.4,W
444.03750,449.0375,+5.00000,,"San Jose ",CA,Santa Clara,K6HLE,OPEN,0.5,W
442.42500,447.425,+5.00000,107.2,"San Jose Regional Medical Center ",CA,Santa Clara,W6UU,OPEN,2.6,NE
147.03000,147.63,+0.60000,107.2,"San Jose Almaden Valley",CA,Santa Clara,WB6KHP,OPEN,2.9,N
441.65000,446.65,+5.00000,100.0,"Santa Rosa Richmond Heights",CA,Sonoma,K6JSI,OPEN,3.9,WNW
442.02500,447.025,+5.00000,100.0,"Santa Clara ",CA,Santa Clara,K6SNC,OPEN,3.9,WNW
441.02500,446.025,+5.00000,110.9,"Campbell ",CA,Santa Clara,NO1PC,OPEN,4.9,SW
146.98500,146.385,-0.60000,114.8,"San Jose Eagle Rock",CA,Santa Clara,W6UU,OPEN,5.5,NE
