Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"K6INC",146.82000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"San Jose",
2,"W6OTX",144.96250,+,2.5,,88.5,88.5,23,NN,DIG,5,"San Jose",
3,"W6OTX",444.47500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"San Jose",
4,"WC6HP",443.70000,+,5.00000,Tone,186.2,186.2,023,NN,FM,5,"San Jose",
5,"W6YL",443.90000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose, San Jose State Univ.",
6,"W6SMQ",440.10000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"San Jose",
7,"N6MVT",443.07500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"San Jose",
8,"N6NAC",444.62500,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"San Jose",
9,"AA6BT",146.11500,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
10,"KE6MON",146.35500,+,0.60000,Tone,123.0,88.5,023,NN,FM,5,"San Jose",
11,"KB6FEC",146.89500,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"San Jose",
12,"KB6FEC",147.16500,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
13,"KF6FWO",147.28500,+,0.60000,Tone,103.5,88.5,023,NN,FM,5,"San Jose",
14,"WA6TEM",147.85500,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
15,"K6LLC",440.22500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"San Jose",
16,"WA6YOP",440.27500,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"San Jose",
17,"N6TNR",440.37500,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"San Jose",
18,"WA2IBM",441.15000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
19,"KF6FWO",441.17500,+,5.00000,Tone,103.5,88.5,023,NN,FM,5,"San Jose",
20,"K6BEN",441.27500,+,5.00000,Tone,103.5,88.5,023,NN,FM,5,"San Jose",
21,"K6INC",442.30000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"San Jose",
22,"N6MNV",442.70000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
23,"KU6V",442.77500,+,5.00000,Tone,131.8,131.8,023,NN,FM,5,"San Jose",
24,"WA6MIA",442.85000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
25,"WA6YLV",442.87500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
26,"K6YZS",442.95000,+,5.00000,Tone,85.4,88.5,023,NN,FM,5,"San Jose",
27,"W6AMT",443.27500,+,5.00000,Tone,107.2,88.5,023,NN,FM,5,"San Jose",
28,"KB5JR",443.30000,+,5.00000,Tone,136.5,88.5,023,NN,FM,5,"San Jose",
29,"WA6GFY",443.77500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
30,"WB6RNH",444.30000,+,5.00000,Tone,173.8,88.5,023,NN,FM,5,"San Jose",
31,"WB6RNH",444.30000,+,5.00000,Tone,162.2,88.5,023,NN,FM,5,"San Jose",
32,"WA6INC",444.32500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"San Jose",
33,"WB6JSO",444.45000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
34,"N9JIM",444.75000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
35,"K6HLE",444.03750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"San Jose",
36,"W6UU",442.42500,+,5.00000,Tone,107.2,88.5,023,NN,FM,5,"San Jose, Regional Medical Center ",
37,"WB6KHP",147.03000,+,0.60000,Tone,107.2,88.5,023,NN,FM,5,"San Jose, Almaden Valley",
38,"K6JSI",441.65000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Santa Rosa, Richmond Heights",
39,"K6SNC",442.02500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Santa Clara",
40,"NO1PC",441.02500,+,5.00000,Tone,110.9,110.9,023,NN,FM,5,"Campbell",
41,"W6UU",146.98500,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"San Jose, Eagle Rock",
42,"K6GOD",442.35000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Milpitas",
43,"W6MLP",145.43000,-,0.60000,Tone,85.4,88.5,023,NN,FM,5,"Milpitas",
44,"WA6KPX",443.40000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Milpitas",
45,"WB6KHP",444.70000,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"San Jose, Good Samaritan Hospital",
46,"W6PIY",147.39000,+,0.60000,Tone,151.4,88.5,023,NN,FM,5,"San Jose, Good Samaritan Hosp",
47,"K6GOD",440.17500,+,5.00000,Tone,131.8,131.8,023,NN,FM,5,"Fremont, Mission Peak",
48,"K6GOD",444.72500,+,5.00000,Tone,162.2,162.2,023,NN,FM,5,"Milpitas, Mission Peak",
49,"W6AMT",440.12500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Cupertino",
50,"W6TDM",440.15000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Cupertino",
51,"W6VB",441.55000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Cupertino",
52,"K6SA",443.15000,+,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Cupertino",
53,"K6GOD",442.35000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Cupertino",
54,"AD1U",443.95000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Los Gatos, Crystal Peak Site",
55,"K6SNY",145.17000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"Sunnyvale",
56,"W1NSA",443.90000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Sunnyvale",
57,"AF6EQ",444.55000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Sunnyvale",
58,"K6SA",146.65500,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Saratoga",
59,"KC6TYG",440.65000,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Los Gatos",
60,"N6UUI",441.05000,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Los Gatos",
61,"W6RCA",441.62500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Los Gatos",
62,"NO1PC",443.75000,+,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Los Gatos",
63,"WB6KHP",444.97500,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"Los Gatos, Santa Cruz Mountains",
64,"KK6USZ",441.95000,+,5.00000,,88.5,88.5,23,NN,Auto,5,"Saratoga, Saratoga Heights",
65,"NA6MF",145.25000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Sunnyvale, Moffett Field",
66,"WA2IBM",145.19000,-,0.60000,Tone,151.4,151.4,023,NN,FM,5,"San Jose, Santa Teresa foothills",
67,"W6ASH",440.80000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Mountain View, El Camino Hospital ",
68,"W6ASH",145.27000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Mountain View, El Camino Hospital",
69,"W6TCP",440.12500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Fremont, Mt Allison",
70,"N6HWI",443.72500,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Fremont, Mt Allison",
71,"WB6ECE",441.30000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Fremont, Mt Allison",
72,"KH6N",440.87500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Los Altos",
73,"WA6YCZ",147.15000,+,0.60000,Tone,110.9,88.5,023,NN,FM,5,"San Jose, Mt Umunhum",
74,"WB6ECE",441.30000,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"San Jose, Mt Umunhum",
75,"WA6YCZ",444.40000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose, Mt Umunhum",
76,"WA6YCZ",442.53750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"San Jose, Mount Umunhum",
77,"K6LNK",443.47500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"San Jose, Mt Umunhum ",
78,"WW6BAY",444.07500,+,5.00000,,88.5,88.5,23,NN,DV,5,"Palo Alto, Black Mountain",
79,"K6FB",145.45000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Los Gatos, Castle Rock",
80,"KU6V",444.90000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"San Jose, Santa Cruz Mountains",
81,"W6LAH",146.74500,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Los Altos Hills",
82,"KE6JTK",444.22500,+,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Los Altos Hills",
83,"K6AIR",146.94000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Los Altos Hills",
84,"W6PMI",442.12500,+,5.00000,Tone,162.2,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
85,"K6FB",442.57500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
86,"K6GOD",441.10000,+,5.00000,Tone,203.5,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
87,"WW6BAY",444.42500,+,5.00000,Tone,127.3,88.5,023,NN,Auto,5,"Palo Alto, Black Mtn",
88,"K6OTR",441.85000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Palo Alto, Black Mountain",
89,"W6TI",147.36000,+,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
90,"WW6BAY",444.35000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Palo Alto, Black Mountain",
91,"WW6BAY",443.22500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
92,"WW6BAY",145.39000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
