No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,AES Encryption,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,Digi APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,DMR MODE,Exclude channel from roaming
,Simplex (2m),146.520,146.520,A-Analog,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,Simplex (70cm),446.000,446.000,A-Analog,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,DEFCON (2m),146.580,146.580,A-Analog,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,W3PVI (2m),145.270,144.670,D-Digital,High,12.5K,Off,Off,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,KD3WT (2m),145.410,144.810,A-Analog,High,12.5K,127.3,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,K3CX (70cm),440.150,445.150,A-Analog,High,12.5K,100.0,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,N3KZ (70cm),442.400,447.400,A-Analog,High,12.5K,131.8,131.8,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,W3SBE (70cm),442.550,447.550,A-Analog,High,12.5K,91.5,91.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,91.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,K3TU (70cm),442.800,447.800,A-Analog,High,12.5K,131.8,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
,KD3WT (70cm),446.875,441.875,A-Analog,High,12.5K,131.8,88.5,Contact1,Group Call,My Radio,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,88.5,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,0
